ID,TARGET_HOST_ID,SOURCE_HOST_ID,est_duration
2cbcf7bd-08c9-4cb5-93ca-ed9f795544b1,node-97_1,node-29,4
6d0cdf66-500a-4b24-8d29-e5fa877a2cd7,node-48_1,node-42,1
d4fea4e2-ee64-4ebd-94a2-0ed4161d8087,node-188_5,node-13,2
4eefeb42-c979-4dbb-878b-9dbad7f2dead,node-98_3,node-55,1
e624137d-fabf-472e-bf2c-295348bb3685,node-77_3,node-42,1
d46f63e3-f2da-4865-9e94-9a188a77b70f,node-69_1,node-53,2
21fb2996-b354-49fa-b924-057f6c10c7d6,node-100_2,node-29,2
d94addb7-9ec4-4699-8e8f-4f6753a0d11a,node-189_5,node-24,1
ae75753f-d88d-4633-8d49-9e345df3913a,node-69_2,node-73,4
db9f5ed0-c6df-47ff-9395-e9bb8457e8e3,node-62_2,node-21,1
13ca31d5-fc9d-4b3a-926e-b1f4231d6be2,node-94_3,node-28,4
a50dce87-6935-455a-b8ca-d73da3d4f752,node-74_3,node-27,4
7fbb4e3f-5d5f-47c8-ac8e-44dba222325c,node-187_2,node-56,1
540c8bc6-c72e-4794-b807-bd534946b1aa,node-185_2,node-15,4
537ee3e7-089f-44a7-bef4-5e4c86d28b71,node-80_3,node-28,2
f521513e-92b3-4b31-a3df-cbe3defca931,node-88_3,node-42,1
d3c32258-0512-40d4-83fb-e0eba035e0c5,node-95_5,node-55,1
4af0b706-e599-4790-8259-53aaedfbe3b2,node-189_1,node-61,3
3c758e7a-8e95-454e-9d32-093951648d39,node-189_4,node-34,1
24a94c50-e043-4f27-bbdf-be2c4ceb2c3f,node-188_4,node-33,4
19640573-8520-4d98-8694-afaeefdea60c,node-70_2,node-24,1
d30222b9-8f1e-4d58-8fbd-082f967facf0,node-61_2,node-55,1
5b07f91b-f7a1-4a3d-ba46-c03f35f9a5c5,node-72_3,node-58,1
a6815908-0c3e-47c9-a7fa-d85a198039c0,node-48_1,node-42,3
a2aaa978-d094-4d47-981c-f919c122f083,node-186_3,node-19,1
4d7e8133-6167-4a8e-aa0e-2ca113358717,node-185_5,node-39,2
55e5e12d-c2b6-40b6-8bb6-9304f416eef6,node-187_5,node-53,1
a2d77284-d612-4d68-8eb1-49a698b48ab8,node-96_1,node-14,2
a8acdbb3-ea24-4be9-a9df-1496d3d3a28f,node-72_1,node-53,2
3c9694c9-06eb-4c27-b116-b1d79145c3b6,node-184_5,node-59,1
462f340c-70ae-491a-92cb-feecf1d14e7d,node-189_4,node-64,1
